Sectorizacion;Sector;Volumen;Ruta
1A;LECBBKE;CCL;Barcelona Ruta Este
1A;LECBBKE;CCU;Barcelona Ruta Este
1A;LECBBKE;MMS;Barcelona Ruta Este
1A;LECBBKE;MNL;Barcelona Ruta Este
1A;LECBBKE;MNU;Barcelona Ruta Este
1A;LECBBKE;VNI;Barcelona Ruta Este
1A;LECBBKE;VVS;Barcelona Ruta Este
2A;LECBCVN;CCL;Barcelona Ruta Este
2A;LECBCVN;CCU;Barcelona Ruta Este
2A;LECBCVN;VNI;Barcelona Ruta Este
2A;LECBMVS;MMS;Barcelona Ruta Este
2A;LECBMVS;MNL;Barcelona Ruta Este
2A;LECBMVS;MNU;Barcelona Ruta Este
2A;LECBMVS;VVS;Barcelona Ruta Este
2B;LECBCCC;CCL;Barcelona Ruta Este
2B;LECBCCC;CCU;Barcelona Ruta Este
2B;LECBMVI;MMS;Barcelona Ruta Este
2B;LECBMVI;MNL;Barcelona Ruta Este
2B;LECBMVI;MNU;Barcelona Ruta Este
2B;LECBMVI;VNI;Barcelona Ruta Este
2B;LECBMVI;VVS;Barcelona Ruta Este
2C;LECBCBM;CCL;Barcelona Ruta Este
2C;LECBCBM;CCU;Barcelona Ruta Este
2C;LECBCBM;MMS;Barcelona Ruta Este
2C;LECBCBM;MNL;Barcelona Ruta Este
2C;LECBCBM;MNU;Barcelona Ruta Este
2C;LECBCBM;VVS;Barcelona Ruta Este
2C;LECBVNI;VNI;Barcelona Ruta Este
3A;LECBCCC;CCL;Barcelona Ruta Este
3A;LECBCCC;CCU;Barcelona Ruta Este
3A;LECBMMI;MMS;Barcelona Ruta Este
3A;LECBMMI;MNL;Barcelona Ruta Este
3A;LECBMMI;MNU;Barcelona Ruta Este
3A;LECBVVI;VNI;Barcelona Ruta Este
3A;LECBVVI;VVS;Barcelona Ruta Este
3B;LECBCCC;CCL;Barcelona Ruta Este
3B;LECBCCC;CCU;Barcelona Ruta Este
3B;LECBMNI;MNL;Barcelona Ruta Este
